Test Case 1 Fist Fit: 11, First Fit Decreasing: 11, Best Fit: 11
Test Case 2 Fist Fit: 4, First Fit Decreasing: 4, Best Fit: 4
Test Case 3 Fist Fit: 5, First Fit Decreasing: 5, Best Fit: 5
Test Case 4 Fist Fit: 2, First Fit Decreasing: 2, Best Fit: 2
Test Case 5 Fist Fit: 6, First Fit Decreasing: 5, Best Fit: 6
Test Case 6 Fist Fit: 12, First Fit Decreasing: 12, Best Fit: 12
Test Case 7 Fist Fit: 12, First Fit Decreasing: 12, Best Fit: 12
Test Case 8 Fist Fit: 11, First Fit Decreasing: 11, Best Fit: 11
Test Case 9 Fist Fit: 13, First Fit Decreasing: 13, Best Fit: 13
Test Case 10 Fist Fit: 7, First Fit Decreasing: 7, Best Fit: 7
Test Case 11 Fist Fit: 3, First Fit Decreasing: 3, Best Fit: 3
Test Case 12 Fist Fit: 11, First Fit Decreasing: 10, Best Fit: 11
Test Case 13 Fist Fit: 2, First Fit Decreasing: 2, Best Fit: 2
Test Case 14 Fist Fit: 8, First Fit Decreasing: 8, Best Fit: 8
Test Case 15 Fist Fit: 4, First Fit Decreasing: 4, Best Fit: 4
Test Case 16 Fist Fit: 6, First Fit Decreasing: 6, Best Fit: 6
Test Case 17 Fist Fit: 10, First Fit Decreasing: 9, Best Fit: 9
Test Case 18 Fist Fit: 12, First Fit Decreasing: 11, Best Fit: 12
Test Case 19 Fist Fit: 4, First Fit Decreasing: 4, Best Fit: 4
Test Case 20 Fist Fit: 1, First Fit Decreasing: 1, Best Fit: 1
Test Case 21 Fist Fit: 9, First Fit Decreasing: 9, Best Fit: 9
Test Case 22 Fist Fit: 8, First Fit Decreasing: 7, Best Fit: 7
Test Case 23 Fist Fit: 6, First Fit Decreasing: 6, Best Fit: 6
Test Case 24 Fist Fit: 4, First Fit Decreasing: 4, Best Fit: 4
Test Case 25 Fist Fit: 6, First Fit Decreasing: 6, Best Fit: 6
Test Case 26 Fist Fit: 9, First Fit Decreasing: 9, Best Fit: 9
Test Case 27 Fist Fit: 2, First Fit Decreasing: 2, Best Fit: 2
Test Case 28 Fist Fit: 3, First Fit Decreasing: 3, Best Fit: 3
Test Case 29 Fist Fit: 9, First Fit Decreasing: 9, Best Fit: 9
Test Case 30 Fist Fit: 9, First Fit Decreasing: 8, Best Fit: 9
